,eff:2019-09-18|mat:5y|roll:None|coup:outright0.01,eff:2019-09-18|mat:5y|roll:None|coup:outright0.02,eff:2019-09-18|mat:5y|roll:None|coup:outright0.03,eff:2019-09-18|mat:5y|roll:None|coup:outright0.04,eff:2019-09-18|mat:5y|roll:None|coup:outright0.05,eff:2019-01-01|mat:5y|roll:None|coup:outright0.01,eff:2019-01-01|mat:5y|roll:None|coup:outright0.02,eff:2019-01-01|mat:5y|roll:None|coup:outright0.03,eff:2019-01-01|mat:5y|roll:None|coup:outright0.04,eff:2019-01-01|mat:5y|roll:None|coup:outright0.05,eff:2021-01-01|mat:5y|roll:None|coup:outright0.01,eff:2021-01-01|mat:5y|roll:None|coup:outright0.02,eff:2021-01-01|mat:5y|roll:None|coup:outright0.03,eff:2021-01-01|mat:5y|roll:None|coup:outright0.04,eff:2021-01-01|mat:5y|roll:None|coup:outright0.05
2019-04-12,-471.4196336576375,-471.4196336576375,-471.4196336576375,-471.4196336576375,-471.4196336576375,-465.98357795785836,-465.98357795785836,-465.98357795785836,-465.98357795785836,-465.98357795785836,-458.24635117736125,-458.24635117736125,-458.24635117736125,-458.24635117736125,-458.24635117736125
2019-04-15,-470.5970460921947,-470.5970460921947,-470.5970460921947,-470.5970460921947,-470.5970460921947,-465.3859687196891,-465.3859687196891,-465.3859687196891,-465.3859687196891,-465.3859687196891,-456.9560322097459,-456.9560322097459,-456.9560322097459,-456.9560322097459,-456.9560322097459
2019-04-16,-470.72423141473087,-470.72423141473087,-470.72423141473087,-470.72423141473087,-470.72423141473087,-465.4971568747402,-465.4971568747402,-465.4971568747402,-465.4971568747402,-465.4971568747402,-457.1321787881047,-457.1321787881047,-457.1321787881047,-457.1321787881047,-457.1321787881047
2019-04-17,-470.41119217981225,-470.41119217981225,-470.41119217981225,-470.41119217981225,-470.41119217981225,-465.2900240984435,-465.2900240984435,-465.2900240984435,-465.2900240984435,-465.2900240984435,-456.5948372134351,-456.5948372134351,-456.5948372134351,-456.5948372134351,-456.5948372134351
2019-04-18,-470.46716768240907,-470.46716768240907,-470.46716768240907,-470.46716768240907,-470.46716768240907,-465.34267718756183,-465.34267718756183,-465.34267718756183,-465.34267718756183,-465.34267718756183,-456.6383462609791,-456.6383462609791,-456.6383462609791,-456.6383462609791,-456.6383462609791
2019-04-19,-470.8774837933206,-470.8774837933206,-470.8774837933206,-470.8774837933206,-470.8774837933206,-465.6455791042496,-465.6455791042496,-465.6455791042496,-465.6455791042496,-465.6455791042496,-457.2612107659884,-457.2612107659884,-457.2612107659884,-457.2612107659884,-457.2612107659884
2019-04-22,-470.8983887831671,-470.8983887831671,-470.8983887831671,-470.8983887831671,-470.8983887831671,-465.6700462911124,-465.6700462911124,-465.6700462911124,-465.6700462911124,-465.6700462911124,-457.2229460280653,-457.2229460280653,-457.2229460280653,-457.2229460280653,-457.2229460280653
2019-04-23,-470.9405764494975,-470.9405764494975,-470.9405764494975,-470.9405764494975,-470.9405764494975,-465.7493519064584,-465.7493519064584,-465.7493519064584,-465.7493519064584,-465.7493519064584,-457.1946112390898,-457.1946112390898,-457.1946112390898,-457.1946112390898,-457.1946112390898
2019-04-24,-471.3407690000606,-471.3407690000606,-471.3407690000606,-471.3407690000606,-471.3407690000606,-466.0539791966093,-466.0539791966093,-466.0539791966093,-466.0539791966093,-466.0539791966093,-457.7560303452406,-457.7560303452406,-457.7560303452406,-457.7560303452406,-457.7560303452406
2019-04-25,-471.985258659097,-471.985258659097,-471.985258659097,-471.985258659097,-471.985258659097,-466.5571703220062,-466.5571703220062,-466.5571703220062,-466.5571703220062,-466.5571703220062,-458.6671546574124,-458.6671546574124,-458.6671546574124,-458.6671546574124,-458.6671546574124
